lead_id,company,title,location,email,category,status,next_action
522,Abahsain Mechanical Equipment,HR Contact - Heavy Equipment,Riyadh,recruitment@abahsainme.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
523,Omorfiya Group,HR Contact - Government Relations,Riyadh,munif.alshammari@omorfiagroup.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
524,Wajd Life,HR Contact - Healthcare Projects,Riyadh,job@wajdlife.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
525,NIHR,HR Contact - Industrial Testing,KAEC (Rabigh),baldeeb@nihr.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
526,Alvest Arabia,HR Contact - Airport Services,Madinah,jobs@alvestarabia.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
527,LCK Contractors,HR Contact - Contracting,KSA,recruitment@lck-contractors.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
528,WMFC,HR Contact - Industrial Services,KSA,hr@wmfco.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
529,Mobasher,HR Contact - Business Services,KSA,careers@mobasher.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
530,Al Aqsa Schools,HR Contact - Education,KSA,girls-jobs@alaqsa.edu.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
531,Wooden,HR Contact - Wood Products,KSA,recruitment@wooden.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
532,Ma'set Al Safwa,HR Contact - Business Services,KSA,info@masetalsafwa.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
533,Wishah Al Watan,HR Contact - Business Services,KSA,jobs@wishah-alwatan.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
534,Kasab International,HR Contact - Business Services,KSA,careers@kasabint.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
535,Al Ibrahim Group (SEMAG),HR Contact - Trading & Industry,KSA,semag.hr1@alibrahimgroup.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
536,Gulf AAR,HR Contact - Engineering Services,KSA,info@gulfaar.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
537,LSC Logistics,HR Contact - Logistics,KSA,careers@lsclogistics.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
538,Wareed,HR Contact - Technology & Services,KSA,g.mosaid@wareed.com.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
539,Livehued,HR Contact - Design & Marketing,KSA,careers@livehued.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
540,Nojom,HR Contact - Business Services,KSA,recruiting@nojom.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
541,Tech Develop,HR Contact - IT Services,KSA,career@tech-develop.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
542,Union Diamond,HR Contact - Industrial Services,KSA,hr@uniondiamondco.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
543,Building Guide,HR Contact - Construction Services,KSA,info@building-guide.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
544,Meela,HR Contact - Business Services,KSA,talents@meela.com.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
545,Sawafi Borets (Borets KSA),HR Contact - Oil & Gas Equipment,KSA,recruitment@sawafi.borets.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
546,Aster Pharmacy KSA,HR Contact - Pharmacy Retail,KSA,talentacquisition@asterpharmacy.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
547,JRC,HR Contact - Contracting,KSA,careers@jrc.com.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
548,American Academy,HR Contact - Education,KSA,careers@americanacademysa.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
549,ASTA,HR Contact - Education,KSA,ceo@asta.edu.sa,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
550,MLS (Naghi Logistics),HR Contact - Logistics & Warehousing,Makkah,careers@mls.mynaghi.com,email_outreach,new,Hold during Gmail reputation cooldown; use only after a separate verification and rate-limit check.
